post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.5,3.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.25,3.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.25,3.0
0.0,17.0,0.0,17.0,1.0,180.0,359.0,58.0,100.0,98.14,1.0
0.0,16.0,5.0,21.0,1.0,180.0,352.0,58.0,100.0,97.56,1.0
0.0,7.0,0.0,7.0,1.0,180.0,361.5,53.0,70.0,89.53,1.0
5.0,312.0,13.0,330.0,292.0,178.0,356.34,58.0,30.0,83.49,2.0
0.0,4.0,4.0,8.0,0.0,172.5,280.5,113.32,40.0,79.74,2.0
13.0,7.0,0.0,20.0,0.0,165.32,311.5,56.0,20.0,75.73,2.0
15.0,11.0,17.0,43.0,16.0,155.0,307.17,50.0,30.0,73.37,2.0
2.0,4.0,1.0,7.0,0.0,174.0,357.0,47.0,0.0,71.03,2.0
6.0,11.0,3.0,20.0,3.0,162.64,315.0,107.0,0.0,67.32,2.0
4.0,30.0,14.0,48.0,14.0,153.78,334.0,48.32,100.0,63.94,2.0
2.0,5.0,1.0,8.0,0.0,153.14,318.0,97.5,0.0,62.28,2.0
2.0,14.0,1.0,17.0,3.0,170.5,355.5,0.0,70.0,60.95,2.0
5.0,12.0,1.0,18.0,4.0,180.0,241.0,32.0,10.0,60.83,2.0
6.0,6.0,0.0,12.0,0.0,139.48,275.97,42.5,0.0,60.64,2.0
1.0,18.0,7.0,26.0,2.0,126.64,207.5,0.0,100.0,53.04,3.0
7.0,13.0,1.0,21.0,0.0,178.5,358.0,49.0,20.0,52.78,3.0
